Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0005","00101",379262.87,4699477.79,287.21,1.99,0,0,24,-76.4679682200742,42.4382273575293
"0005","00102",379263.53,4699478.09,287.23,2.04,0,0,24,-76.4679601811923,42.4382301329877
"0005","00103",379264.2,4699478.39,287.24,2.02,0,0,24,-76.4679521423097,42.4382329084455
"0005","00104",379264.87,4699478.68,287.26,2.04,0,0,24,-76.4679441034264,42.4382356839027
"0005","00105",379265.53,4699478.98,287.28,2,0,0,24,-76.4679360645423,42.4382384593593
"0006","00126",379252.6,4699472.15,286.9,2,0,0,204,-76.468091827022,42.4381749805033
"0006","00125",379253.27,4699472.45,286.92,2.01,0,0,204,-76.4680837881525,42.4381777559702
"0006","00124",379253.93,4699472.75,286.94,2.03,0,0,204,-76.4680757492822,42.4381805314365
"0006","00123",379254.6,4699473.04,286.96,1.99,0,0,204,-76.4680677104112,42.4381833069022
"0006","00122",379255.27,4699473.34,286.98,1.96,0,0,204,-76.4680596715395,42.4381860823674
"0006","00121",379255.93,4699473.64,286.99,1.98,0,0,204,-76.468051632667,42.438188857832
"0006","00120",379256.6,4699473.93,287.01,1.98,0,0,204,-76.4680435937939,42.4381916332961
"0006","00119",379257.27,4699474.23,287.03,1.96,0,0,204,-76.46803555492,42.4381944087596
"0006","00118",379257.93,4699474.53,287.05,1.98,0,0,204,-76.4680275160454,42.4381971842226
"0006","00117",379258.6,4699474.82,287.07,1.95,0,0,204,-76.46801947717,42.438199959685
"0006","00116",379259.27,4699475.12,287.09,1.93,0,0,204,-76.468011438294,42.4382027351469
"0006","00115",379259.93,4699475.42,287.11,1.95,0,0,204,-76.4680033994172,42.4382055106081
"0006","00114",379260.6,4699475.71,287.13,1.91,0,0,204,-76.4679953605397,42.4382082860689
"0006","00113",379261.27,4699476.01,287.15,1.91,0,0,204,-76.4679873216615,42.4382110615291
"0006","00112",379261.93,4699476.31,287.17,1.93,0,0,204,-76.4679792827825,42.4382138369887
"0006","00111",379262.6,4699476.6,287.19,1.95,0,0,204,-76.4679712439028,42.4382166124478
"0006","00110",379263.27,4699476.9,287.21,1.97,0,0,204,-76.4679632050224,42.4382193879063
"0006","00109",379263.93,4699477.2,287.22,2,0,0,204,-76.4679551661413,42.4382221633643
"0006","00108",379264.6,4699477.49,287.24,1.99,0,0,204,-76.4679471272595,42.4382249388217
"0006","00107",379265.27,4699477.79,287.26,1.99,0,0,204,-76.467939088377,42.4382277142786
"0006","00106",379265.93,4699478.09,287.28,2,0,0,204,-76.4679310494937,42.4382304897349
