Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0004","00079",379261.44,4699477.18,287.17,1.96,0,0,207,-76.4679854265977,42.4382216074196
"0004","00078",379262.09,4699477.51,287.19,1.97,0,0,207,-76.4679775948374,42.4382246907106
"0004","00077",379262.74,4699477.84,287.21,1.99,0,0,207,-76.4679697630763,42.4382277740012
"0004","00076",379263.39,4699478.17,287.22,2.03,0,0,207,-76.4679619313143,42.4382308572911
"0004","00075",379264.04,4699478.5,287.24,2.01,0,0,207,-76.4679540995517,42.4382339405806
"0004","00074",379264.69,4699478.84,287.26,2.03,0,0,207,-76.4679462677882,42.4382370238695
"0004","00073",379265.34,4699479.17,287.28,2,0,0,207,-76.467938436024,42.4382401071579
"0005","00097",379250.81,4699470.73,286.81,2,0,0,27,-76.4681133110803,42.4381618674546
"0005","00098",379251.46,4699471.06,286.84,1.96,0,0,27,-76.4681054793338,42.4381649507542
"0005","00099",379252.11,4699471.39,286.87,1.99,0,0,27,-76.4680976475866,42.4381680340533
"0005","00100",379252.76,4699471.72,286.9,2.02,0,0,27,-76.4680898158386,42.4381711173518
"0005","00101",379253.41,4699472.05,286.92,2.01,0,0,27,-76.4680819840897,42.4381742006498
"0005","00102",379254.06,4699472.38,286.95,2.01,0,0,27,-76.4680741523402,42.4381772839473
"0005","00103",379254.71,4699472.72,286.98,2.04,0,0,27,-76.4680663205898,42.4381803672443
"0005","00104",379255.36,4699473.05,287,1.99,0,0,27,-76.4680584888387,42.4381834505407
"0005","00105",379256.01,4699473.38,287.03,2,0,0,27,-76.4680506570868,42.4381865338367
"0005","00106",379256.66,4699473.71,287.06,2.03,0,0,27,-76.4680428253341,42.438189617132
"0005","00107",379257.31,4699474.04,287.09,2.02,0,0,27,-76.4680349935806,42.4381927004269
"0005","00108",379257.96,4699474.37,287.11,2.04,0,0,27,-76.4680271618263,42.4381957837213
"0005","00109",379258.61,4699474.7,287.14,2.02,0,0,27,-76.4680193300713,42.4381988670151
"0005","00110",379259.26,4699475.03,287.17,2,0,0,27,-76.4680114983155,42.4382019503084
"0005","00111",379259.91,4699475.37,287.2,2.03,0,0,27,-76.4680036665589,42.4382050336011
"0005","00112",379260.56,4699475.7,287.22,2,0,0,27,-76.4679958348015,42.4382081168934
"0005","00113",379261.21,4699476.03,287.23,1.99,0,0,27,-76.4679880030434,42.4382112001851
"0005","00114",379261.86,4699476.36,287.23,2,0,0,27,-76.4679801712845,42.4382142834763
"0005","00115",379262.51,4699476.69,287.24,2,0,0,27,-76.4679723395248,42.4382173667669
"0005","00116",379263.16,4699477.02,287.25,2.03,0,0,27,-76.4679645077643,42.4382204500571
"0005","00117",379263.81,4699477.35,287.26,2.03,0,0,27,-76.467956676003,42.4382235333467
"0005","00118",379264.46,4699477.68,287.27,2.02,0,0,27,-76.467948844241,42.4382266166358
"0005","00119",379265.11,4699478.01,287.27,1.99,0,0,27,-76.4679410124782,42.4382296999244
"0005","00120",379265.76,4699478.35,287.28,2,0,0,27,-76.4679331807146,42.4382327832124
