               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.021973,           0.0038573,                   0,             0.97176,             0.97651,             0.99234,             0.79052,            0.016803,           0.0023447,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.022174,           0.0039247,                   0,             0.97129,             0.97549,             0.99267,             0.78053,             0.01719,           0.0023003,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.02252,           0.0038005,                   0,               0.976,             0.96323,             0.99027,             0.77816,            0.017347,           0.0024031,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.022218,           0.0042413,                   0,             0.97861,             0.98149,             0.99332,             0.78352,            0.016847,           0.0023425,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.022383,           0.0040286,                   0,             0.97928,             0.97038,             0.99291,             0.78123,            0.017164,           0.0023125,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.021654,           0.0041229,                   0,             0.97151,             0.97531,             0.99181,             0.79231,            0.016361,           0.0023287,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.021297,            0.004099,                   0,             0.99102,             0.97957,             0.99378,              0.8041,            0.015791,           0.0021747,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.021467,           0.0038877,                   0,              0.9757,             0.98876,             0.99382,             0.80543,            0.015741,            0.002215,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.021273,           0.0038584,                   0,             0.97165,             0.98021,             0.99259,             0.77549,            0.017427,           0.0022818,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.021139,           0.0038556,                   0,              0.9699,             0.98746,             0.99279,             0.78218,            0.016623,           0.0022268,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.021129,           0.0038052,                   0,             0.98521,             0.97651,             0.99279,             0.80013,            0.016097,           0.0022154,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.021115,           0.0039108,                   0,             0.97864,             0.98276,             0.99357,             0.78817,            0.016588,           0.0022384,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.021133,           0.0037209,                   0,             0.97742,             0.98161,             0.99324,             0.79888,             0.01616,           0.0022189,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.021235,           0.0038458,                   0,             0.98273,             0.98834,             0.99407,              0.7982,            0.016173,           0.0021575,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.020694,           0.0036359,                   0,             0.97665,             0.98366,              0.9932,             0.79153,             0.01664,           0.0022823,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.020631,           0.0038619,                   0,             0.97766,             0.98348,             0.99315,             0.80671,            0.015763,           0.0021857,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.021019,           0.0039351,                   0,             0.98173,             0.98816,              0.9941,             0.81123,            0.015259,           0.0021564,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.020486,           0.0035957,                   0,             0.98978,             0.98947,             0.99417,             0.81445,            0.015301,           0.0021287,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.020824,           0.0038816,                   0,             0.99076,             0.97855,             0.99387,             0.82143,             0.01477,           0.0020871,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.020419,           0.0038006,                   0,             0.98308,             0.99081,             0.99414,             0.80994,            0.015233,           0.0021057,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.021169,           0.0035578,                   0,             0.98377,             0.99087,             0.99411,             0.81661,            0.014859,           0.0021193,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.020657,           0.0038241,                   0,             0.98711,             0.98876,             0.99416,             0.81469,            0.015171,           0.0021199,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.020417,           0.0042327,                   0,             0.98896,             0.98468,             0.99457,             0.81794,            0.014899,           0.0020621,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.019912,           0.0035914,                   0,             0.98808,             0.99489,              0.9929,             0.82033,            0.014596,            0.002076,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.020052,            0.003716,                   0,             0.98878,             0.98977,             0.99404,             0.80802,            0.015523,           0.0020654,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.019644,           0.0037274,                   0,             0.97928,             0.98468,             0.99359,             0.80571,            0.015346,           0.0021204,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.020944,           0.0037303,                   0,             0.98543,             0.98774,             0.99426,             0.81892,            0.014864,           0.0020643,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.020264,           0.0036208,                   0,             0.98832,             0.98366,              0.9944,             0.82862,            0.014343,           0.0020678,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.01954,           0.0036495,                   0,             0.98757,             0.98672,              0.9937,             0.82352,             0.01437,           0.0020022,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.019294,           0.0035364,                   0,              0.9928,             0.98601,             0.99401,             0.82344,            0.014462,           0.0020029,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.019589,             0.00377,                   0,             0.99392,             0.99285,             0.99404,             0.82353,             0.01428,           0.0019551,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.019301,           0.0033861,                   0,             0.99092,             0.99489,             0.99446,             0.84184,            0.013491,           0.0019485,                   0,            0.004456,            0.004456,            0.004456
