x,y,z
379258.7099473175,4699478.708667956,1.0
379264.6732506686,4699479.287160335,1.0
379258.2854596282,4699479.774775961,1.0
379258.2667322373,4699478.74009311,1.0
379258.04565420205,4699476.590349865,1.0
379262.4765580013,4699480.79447083,1.0
379265.4669605799,4699478.2387984395,1.0
379259.6093632376,4699476.672769181,1.0
379265.38642235956,4699477.8391297255,1.0
379256.2242848426,4699478.8807794945,1.0
379259.5700607328,4699476.586840438,1.0
379258.70971241605,4699478.917034566,1.0
379263.6641841504,4699477.764608703,1.0
379259.9818148006,4699477.362074419,1.0
379260.4052161152,4699476.897311232,1.0
379253.9893890472,4699477.687463174,1.0
379263.18205492414,4699479.021105705,1.0
379256.9750745955,4699478.784089822,1.0
379257.6348958967,4699475.175149365,1.0
379259.1884769856,4699476.963549335,1.0
379265.1628455676,4699477.961668828,1.0
379257.3270534243,4699478.323707821,1.0
379261.35850872885,4699476.646772667,1.0
379263.62471087434,4699479.116414335,1.0
379259.9927320854,4699477.582612953,1.0
379259.4091665682,4699476.821159593,1.0
379264.29042750184,4699478.799834801,1.0
379259.1542594525,4699476.49876112,1.0
379262.49274239934,4699476.913051149,1.0
379253.5745395365,4699477.521479444,1.0
379258.9435454428,4699476.550182082,1.0
379259.4463787913,4699478.384918165,1.0
379264.26704863773,4699478.658422115,1.0
379260.4393793529,4699478.119309387,1.0
379259.42506761546,4699475.972615818,1.0
379258.5601738226,4699477.760372046,1.0
379253.09037010523,4699477.639190324,1.0
379258.6336155538,4699477.879068991,1.0
379262.99763051985,4699479.161018791,1.0
379265.1948981022,4699478.619266101,1.0
379258.1050756436,4699478.678073498,1.0
379263.5711679398,4699477.501245316,1.0
379260.5208303966,4699479.53935027,1.0
379261.31918937096,4699478.521140734,1.0
379259.2602291213,4699476.663821994,1.0
379264.5154466954,4699478.745337455,1.0
379264.06812861824,4699478.942947609,1.0
379259.59215892473,4699476.0688330885,1.0
379261.67348683235,4699479.674333516,1.0
379264.7847779366,4699479.009285815,1.0
379264.30562107277,4699478.589551966,1.0
379262.9938037401,4699478.432431523,1.0
379259.13209029194,4699478.316931086,1.0
379257.41486471565,4699476.156264418,1.0
379255.9621220616,4699478.018496537,1.0
379257.75789961795,4699477.518746958,1.0
379263.11191972974,4699477.553811863,1.0
379264.8556227074,4699479.306961349,1.0
379259.11809464253,4699478.894549219,1.0
379257.6087416133,4699478.140910825,1.0
379258.99767875724,4699476.468887087,1.0
379265.08363992936,4699479.136597132,1.0
379263.7481723491,4699478.494329723,1.0
379258.30450163095,4699477.309850448,1.0
379259.1589795061,4699479.541619033,1.0
379265.291941729,4699478.736332367,1.0
379260.2082797757,4699477.1662170775,1.0
379257.552087165,4699478.809416717,1.0
379257.10414644895,4699478.2254263,1.0
379258.90384318447,4699476.8976453105,1.0
379258.8214927142,4699478.080827831,1.0
379256.3348899021,4699477.163511142,1.0
379263.5104368989,4699479.671902215,1.0
379261.14595601783,4699479.673285677,1.0
379264.1868026636,4699477.272179556,1.0
379258.6910711989,4699476.434139023,1.0
379257.81127406895,4699477.762948817,1.0
379258.48819961824,4699477.306033144,1.0
379262.20188070706,4699477.366456069,1.0
379259.69917817385,4699478.945352731,1.0
379257.3929434231,4699479.310725769,1.0
379262.5691938168,4699478.677994788,1.0
379260.06127150374,4699480.82586215,1.0
379262.5026834741,4699478.715848866,1.0
379258.6966406613,4699477.019736715,1.0
379258.59807368147,4699477.337593959,1.0
379260.9753037052,4699478.165706651,1.0
379263.501008822,4699478.207002859,1.0
379259.4278634217,4699477.347046576,1.0
379259.58360302943,4699477.868870796,1.0
379258.65754368564,4699477.941866579,1.0
379263.2768840743,4699478.801205939,1.0
379264.21015108156,4699477.21022358,1.0
379257.7435365812,4699477.486376163,1.0
379258.6090523185,4699478.958009531,1.0
379263.1207221032,4699479.314793178,1.0
379262.8187713948,4699478.227535333,1.0
379262.6577254065,4699476.810903575,1.0
379260.04573243693,4699478.301587804,1.0
379263.0658388679,4699476.724815044,1.0
379258.6992419142,4699479.022313602,1.0
379264.10907083325,4699478.199139793,1.0
379257.4036124658,4699476.910229301,1.0
379260.26268183434,4699480.976480933,1.0
379264.1724784836,4699478.89187613,1.0
